date,datetime,year,month,text,full_text,source,ticker,dataset
2025-12-24,2025-12-24 15:30:34,2025,12,Amazon faces 'leader's dilemma' — fight AI shopping bots or join them Agents like OpenAI's Instant Checkout and Perplexity's Instant Buy threaten to reshape the e-commerce landscape.,Amazon faces 'leader's dilemma' — fight AI shopping bots or join them Agents like OpenAI's Instant Checkout and Perplexity's Instant Buy threaten to reshape the e-commerce landscape.,CNBC Top Stories,,rss
2025-12-24,2025-12-24 08:38:34,2025,12,Oil giant BP to sell 65% stake in $10 billion Castrol unit The oil giant is looking to divest $20 billion of its assets by the end of 2027.,Oil giant BP to sell 65% stake in $10 billion Castrol unit The oil giant is looking to divest $20 billion of its assets by the end of 2027.,CNBC Top Stories,,rss
2025-12-24,2025-12-24 16:53:21,2025,12,Free streaming service Tubi is rivaling major players for viewership. Here's how it's winning Fox's Tubi outpaced Peacock and HBO Max for share of streaming minutes in Nielsen's November Gauge report.,Free streaming service Tubi is rivaling major players for viewership. Here's how it's winning Fox's Tubi outpaced Peacock and HBO Max for share of streaming minutes in Nielsen's November Gauge report.,CNBC Top Stories,,rss
2025-12-24,2025-12-24 13:40:01,2025,12,Affordability is a buzzword right now — these charts show why Affordability is top of mind for consumers and politicians as prices for household staples have risen sharply in recent years.,Affordability is a buzzword right now — these charts show why Affordability is top of mind for consumers and politicians as prices for household staples have risen sharply in recent years.,CNBC Top Stories,,rss
2025-12-24,2025-12-24 18:45:45,2025,12,"These 5 infrastructure stocks have more than tripled this year on the AI trade While Nvidia has been the biggest infrastructure winner during the AI boom, other data center stocks have performed better this year.","These 5 infrastructure stocks have more than tripled this year on the AI trade While Nvidia has been the biggest infrastructure winner during the AI boom, other data center stocks have performed better this year.",CNBC Top Stories,,rss
2025-12-24,2025-12-24 21:28:47,2025,12,DOJ says more than 1 million potential Epstein files newly uncovered A bipartisan group of Senators on Wednesday said the Trump administration violated the law by failing to release the records in full last week.,DOJ says more than 1 million potential Epstein files newly uncovered A bipartisan group of Senators on Wednesday said the Trump administration violated the law by failing to release the records in full last week.,CNBC Top Stories,,rss
2025-12-25,2025-12-25 17:24:51,2025,12,"Most people think these are 5 signs of chemistry—but they're actually 'red flags,' says psychology expert Clinical psychologist Dr. Amy Tran shares her best advice for how to spot red flags that often masquerade as romantic chemistry.","Most people think these are 5 signs of chemistry—but they're actually 'red flags,' says psychology expert Clinical psychologist Dr. Amy Tran shares her best advice for how to spot red flags that often masquerade as romantic chemistry.",CNBC Top Stories,,rss
2025-12-25,2025-12-25 22:46:35,2025,12,S&amp;P 500 Wavers at End of Its Best Week in a Month: Markets Wrap The post-Christmas session on Wall Street saw stocks fluctuating near their all-time highs as recent signs of economic resilience reinforced positive expectations for corporate profits.,S&amp;P 500 Wavers at End of Its Best Week in a Month: Markets Wrap The post-Christmas session on Wall Street saw stocks fluctuating near their all-time highs as recent signs of economic resilience reinforced positive expectations for corporate profits.,Bloomberg,,rss
2025-12-25,2025-12-25 23:29:08,2025,12,Oil Dips in Thin Post-Christmas Trade Amid Ukraine Talk Progress Oil slumped in muted post-Christmas trading as investors assessed a fresh development in long-stalled Ukraine peace talks which could lead to a deal that allows more Russian oil into global markets grappling with oversupply.,Oil Dips in Thin Post-Christmas Trade Amid Ukraine Talk Progress Oil slumped in muted post-Christmas trading as investors assessed a fresh development in long-stalled Ukraine peace talks which could lead to a deal that allows more Russian oil into global markets grappling with oversupply.,Bloomberg,,rss
2025-12-25,2025-12-25 21:34:07,2025,12,"Waymo pauses robotaxis in SF again due to flash flood warnings on Christmas Day Waymo again paused it robotaxi service, citing a flash flood warning on Christmas Day.","Waymo pauses robotaxis in SF again due to flash flood warnings on Christmas Day Waymo again paused it robotaxi service, citing a flash flood warning on Christmas Day.",CNBC Top Stories,,rss
2025-12-25,2025-12-25 13:00:01,2025,12,"Wall Street wrote off Palantir as too expensive. Retail investors can't get enough The stock, which made its market debut in 2020, is an indisputable star of the retail investing world.","Wall Street wrote off Palantir as too expensive. Retail investors can't get enough The stock, which made its market debut in 2020, is an indisputable star of the retail investing world.",CNBC Top Stories,,rss
2025-12-25,2025-12-25 23:29:51,2025,12,"Gold and Silver Smash Records Again as Rally Gathers Momentum Gold, silver and platinum jumped to all-time highs to extend a historic end-of-year rally for precious metals, with support from escalating geopolitical tensions, US dollar weakness and thin market liquidity.","Gold and Silver Smash Records Again as Rally Gathers Momentum Gold, silver and platinum jumped to all-time highs to extend a historic end-of-year rally for precious metals, with support from escalating geopolitical tensions, US dollar weakness and thin market liquidity.",Bloomberg,,rss
2025-12-26,2025-12-26 20:05:21,2025,12,"Brazil’s Central Bank Faces Court Scrutiny Over Bank Liquidation Brazil’s central bank is facing extraordinary scrutiny over its decision to liquidate Banco Master SA, a rare instance of judicial intervention that risks undermining the legal certainty of its regulatory decisions.","Brazil’s Central Bank Faces Court Scrutiny Over Bank Liquidation Brazil’s central bank is facing extraordinary scrutiny over its decision to liquidate Banco Master SA, a rare instance of judicial intervention that risks undermining the legal certainty of its regulatory decisions.",Bloomberg,,rss
2025-12-26,2025-12-26 19:51:55,2025,12,"Fed Data Show December Surge in 10-Year Treasury Delivery Fails Delivery fails involving 10-year Treasury notes surged to the highest level in eight years this month, a result of the Federal Reserve’s move to shrink its bond portfolio since 2022.","Fed Data Show December Surge in 10-Year Treasury Delivery Fails Delivery fails involving 10-year Treasury notes surged to the highest level in eight years this month, a result of the Federal Reserve’s move to shrink its bond portfolio since 2022.",Bloomberg,,rss
2025-12-26,2025-12-26 19:40:02,2025,12,"Stock Rally Wavers at End of Best Week in a Month | Bloomberg Markets: Early Edition 12/26/2025 Paul Sweeney and Caroline Hyde host ""Bloomberg Markets,"" tracking the market's wavering push for a year-end rally, the US strike on Islamic State targets in Nigeria and a recap of the holiday shopping season. (Source: Bloomberg)","Stock Rally Wavers at End of Best Week in a Month | Bloomberg Markets: Early Edition 12/26/2025 Paul Sweeney and Caroline Hyde host ""Bloomberg Markets,"" tracking the market's wavering push for a year-end rally, the US strike on Islamic State targets in Nigeria and a recap of the holiday shopping season. (Source: Bloomberg)",Bloomberg,,rss
2025-12-26,2025-12-26 02:49:19,2025,12,"Copper Hits Record in China, Jumps in New York on Supply Concern Copper surged to a record in Shanghai and rallied in New York, adding to substantial annual gains as investors bet on tighter global supplies in 2026, while also pricing in the impact of a weaker US dollar.","Copper Hits Record in China, Jumps in New York on Supply Concern Copper surged to a record in Shanghai and rallied in New York, adding to substantial annual gains as investors bet on tighter global supplies in 2026, while also pricing in the impact of a weaker US dollar.",Bloomberg,,rss
2025-12-26,2025-12-26 17:31:15,2025,12,"Coinbase Says Former Agent Arrested In India Over Exchange Hack Coinbase Global Inc. Chief Executive Officer Brian Armstrong said that a former customer service agent for the largest US crypto exchange was arrested in India, months after hackers bribed customer service representatives to gain access to customer information.","Coinbase Says Former Agent Arrested In India Over Exchange Hack Coinbase Global Inc. Chief Executive Officer Brian Armstrong said that a former customer service agent for the largest US crypto exchange was arrested in India, months after hackers bribed customer service representatives to gain access to customer information.",Bloomberg,,rss
2025-12-26,2025-12-26 17:15:22,2025,12,"What Will AI Flip Into? Hello and welcome to the newsletter, a grab bag of daily content from the Odd Lots universe. Sometimes it's us, Joe Weisenthal and Tracy Alloway, bringing you our thoughts on the most recent developments in markets, finance and the economy. And sometimes it's contributions from our network of expert guests and sources. Whatever it is, we promise it will always be interesting.","What Will AI Flip Into? Hello and welcome to the newsletter, a grab bag of daily content from the Odd Lots universe. Sometimes it's us, Joe Weisenthal and Tracy Alloway, bringing you our thoughts on the most recent developments in markets, finance and the economy. And sometimes it's contributions from our network of expert guests and sources. Whatever it is, we promise it will always be interesting.",Bloomberg,,rss
2025-12-26,2025-12-26 16:30:35,2025,12,US Strikes ISIS in Cooperation With Nigeria The US launched a military strike against Islamic State targets in Nigeria in a security and intelligence collaboration with the African nation’s government. President Donald Trump said he directed American forces to carry out “a powerful and deadly strike” against ISIS. Laura Davison reports on Bloomberg Television. (Source: Bloomberg),US Strikes ISIS in Cooperation With Nigeria The US launched a military strike against Islamic State targets in Nigeria in a security and intelligence collaboration with the African nation’s government. President Donald Trump said he directed American forces to carry out “a powerful and deadly strike” against ISIS. Laura Davison reports on Bloomberg Television. (Source: Bloomberg),Bloomberg,,rss
2025-12-26,2025-12-26 16:21:07,2025,12,"Bloomberg Surveillance 12/26/2025 Jonathan Ferro, Lisa Abramowicz and Annmarie Hordern speak daily with leaders and decision makers from Wall Street to Washington and beyond. No other program better positions investors and executives for the trading day. (Source: Bloomberg)","Bloomberg Surveillance 12/26/2025 Jonathan Ferro, Lisa Abramowicz and Annmarie Hordern speak daily with leaders and decision makers from Wall Street to Washington and beyond. No other program better positions investors and executives for the trading day. (Source: Bloomberg)",Bloomberg,,rss
2025-12-26,2025-12-26 15:45:28,2025,12,"Reasonable to be Optimistic About Markets in 2026, Says Rick Gardner Rick Gardner, CIO of RGA Investments, breaks down his outlook heading into the new year. Garnder says that its reasonable for investors to be 'optimistic' about markets in 2026, expecting uncertainty around policy to die down. Gardner said that as tech trade narrows, there is opportunity for investors to diversify outside of the sector. (Source: Bloomberg)","Reasonable to be Optimistic About Markets in 2026, Says Rick Gardner Rick Gardner, CIO of RGA Investments, breaks down his outlook heading into the new year. Garnder says that its reasonable for investors to be 'optimistic' about markets in 2026, expecting uncertainty around policy to die down. Gardner said that as tech trade narrows, there is opportunity for investors to diversify outside of the sector. (Source: Bloomberg)",Bloomberg,,rss
2025-12-26,2025-12-26 14:55:29,2025,12,"Holiday Spending Was Practical, Predictable Says Julia Wilson Julia Wilson, principal of consumer and retail strategy at KPMG, said that practical items like sweaters and gift cards were at the top of consumers' shopping lists this holiday season. Wilson also said that for tricky post-holiday tasks like returning or exchanging gifts, consumers are turning to chatbots for help. (Source: Bloomberg)","Holiday Spending Was Practical, Predictable Says Julia Wilson Julia Wilson, principal of consumer and retail strategy at KPMG, said that practical items like sweaters and gift cards were at the top of consumers' shopping lists this holiday season. Wilson also said that for tricky post-holiday tasks like returning or exchanging gifts, consumers are turning to chatbots for help. (Source: Bloomberg)",Bloomberg,,rss
2025-12-26,2025-12-26 13:57:53,2025,12,"Snow Storm Brings Holiday Travel Disruptions to NYC Airports New York’s major airports have seen hundreds of flight cancellations as a significant winter storm descends on the city and neighboring regions. New York City is in line to get 5 to 9 inches (13 to 23 cm) of snow Friday into Saturday, according to the National Weather Service. Bill Wadell of AccuWeather has the details on Bloomberg Television. (Source: Bloomberg)","Snow Storm Brings Holiday Travel Disruptions to NYC Airports New York’s major airports have seen hundreds of flight cancellations as a significant winter storm descends on the city and neighboring regions. New York City is in line to get 5 to 9 inches (13 to 23 cm) of snow Friday into Saturday, according to the National Weather Service. Bill Wadell of AccuWeather has the details on Bloomberg Television. (Source: Bloomberg)",Bloomberg,,rss
2025-12-26,2025-12-26 13:35:26,2025,12,"Gold, Silver Smash Records as End-Of-Year Rally Continues Gold, silver, and platinum extended a historic end-of-year rally for precious metals, jumping to all-time highs, with spot gold peaking above $4,530 an ounce. Tatiana Darie has more on Bloomberg Television. (Source: Bloomberg)","Gold, Silver Smash Records as End-Of-Year Rally Continues Gold, silver, and platinum extended a historic end-of-year rally for precious metals, jumping to all-time highs, with spot gold peaking above $4,530 an ounce. Tatiana Darie has more on Bloomberg Television. (Source: Bloomberg)",Bloomberg,,rss
2025-12-26,2025-12-26 13:24:31,2025,12,Bitcoin’s Slide Sets Up an Unusual Tax Harvesting Opportunity Bitcoin’s 30% slide from its all-time high is creating conditions financial advisers say are likely driving more tax-loss harvesting in digital assets than in previous years.,Bitcoin’s Slide Sets Up an Unusual Tax Harvesting Opportunity Bitcoin’s 30% slide from its all-time high is creating conditions financial advisers say are likely driving more tax-loss harvesting in digital assets than in previous years.,Bloomberg,,rss
2025-12-26,2025-12-26 01:30:43,2025,12,"China Vows to Prevent Yuan’s Exchange Rate From ‘Overshooting’ China vowed to prevent the yuan’s exchange rate from overshooting, sending yet another clear signal of its intention to slow the currency’s appreciation.","China Vows to Prevent Yuan’s Exchange Rate From ‘Overshooting’ China vowed to prevent the yuan’s exchange rate from overshooting, sending yet another clear signal of its intention to slow the currency’s appreciation.",Bloomberg,,rss
2025-12-26,2025-12-26 21:18:51,2025,12,"Brutal Year for Stock Picking Spurs Trillion-Dollar Fund Exodus The last thing a diversified fund manager wants is to run a portfolio dominated by just seven technology companies &mdash; all American, all megacap, clustered in the same corner of the economy. Yet as the S&amp;P 500 pushed to fresh records this week, investors were again forced to confront a painful reality: Keeping pace with the market has largely meant owning little else.","Brutal Year for Stock Picking Spurs Trillion-Dollar Fund Exodus The last thing a diversified fund manager wants is to run a portfolio dominated by just seven technology companies &mdash; all American, all megacap, clustered in the same corner of the economy. Yet as the S&amp;P 500 pushed to fresh records this week, investors were again forced to confront a painful reality: Keeping pace with the market has largely meant owning little else.",Bloomberg,,rss
2025-12-26,2025-12-26 15:53:34,2025,12,Dollar Caps Worst Week Since June With Focus on Data Ahead A Bloomberg gauge of the dollar posted its worst week since June as traders looked to data due early next month to confirm expectations for further Federal Reserve interest-rate cuts in 2026.,Dollar Caps Worst Week Since June With Focus on Data Ahead A Bloomberg gauge of the dollar posted its worst week since June as traders looked to data due early next month to confirm expectations for further Federal Reserve interest-rate cuts in 2026.,Bloomberg,,rss
2025-12-26,2025-12-26 21:07:19,2025,12,"Nvidia-Groq deal is structured to keep 'fiction of competition alive,' analyst says Groq's description of its Nvidia deal as a ""non-exclusive licensing agreement"" mimics other recent big AI transactions orchestrated by U.S. tech giants.","Nvidia-Groq deal is structured to keep 'fiction of competition alive,' analyst says Groq's description of its Nvidia deal as a ""non-exclusive licensing agreement"" mimics other recent big AI transactions orchestrated by U.S. tech giants.",CNBC Top Stories,,rss
2025-12-26,2025-12-26 13:57:27,2025,12,"California Faces More Flooding in Latest Wave of Heavy Rains California is facing another day of heavy rain and risks of flash floods, prompting officials to warn about the dangers for road travel in this busy holiday period.","California Faces More Flooding in Latest Wave of Heavy Rains California is facing another day of heavy rain and risks of flash floods, prompting officials to warn about the dangers for road travel in this busy holiday period.",Bloomberg,,rss
2025-12-26,2025-12-26 14:14:39,2025,12,"Nvidia buying AI chip startup Groq's assets for about $20 billion in its largest deal on record Nvidia is making its largest purchase ever, acquiring assets from 9-year-old chip startup Groq for about $20 billion.","Nvidia buying AI chip startup Groq's assets for about $20 billion in its largest deal on record Nvidia is making its largest purchase ever, acquiring assets from 9-year-old chip startup Groq for about $20 billion.",CNBC Top Stories,,rss
2025-12-26,2025-12-26 17:16:47,2025,12,"Rents are falling in these major U.S. cities heading into 2026—one of the more 'renter-friendly periods' in a decade, says expert Falling rents and rising vacancies are giving renters more room to negotiate prices heading into early 2026.","Rents are falling in these major U.S. cities heading into 2026—one of the more 'renter-friendly periods' in a decade, says expert Falling rents and rising vacancies are giving renters more room to negotiate prices heading into early 2026.",CNBC Top Stories,,rss
2025-12-26,2025-12-26 19:20:38,2025,12,"Over 300,000 student loan borrowers were denied a new repayment plan, court filing shows — here's why Trump officials rejected 327,955 income-driven repayment plan requests from student loan borrowers, according to a recent court filing. Here's what to know.","Over 300,000 student loan borrowers were denied a new repayment plan, court filing shows — here's why Trump officials rejected 327,955 income-driven repayment plan requests from student loan borrowers, according to a recent court filing. Here's what to know.",CNBC Top Stories,,rss
2025-12-26,2025-12-26 16:09:23,2025,12,"Oracle shares on pace for worst quarter since 2001 as new CEOs face concerns about AI build-out Investors want to know if Oracle, under new CEOs Clay Magouyrk and Mike Sicilia, can pay for and deliver data centers packed with Nvidia chips for OpenAI.","Oracle shares on pace for worst quarter since 2001 as new CEOs face concerns about AI build-out Investors want to know if Oracle, under new CEOs Clay Magouyrk and Mike Sicilia, can pay for and deliver data centers packed with Nvidia chips for OpenAI.",CNBC Top Stories,,rss
2025-12-26,2025-12-26 15:38:06,2025,12,Google is rolling out a new feature allowing users to change their Gmail address Google says it is rolling out a feature that lets users change their Gmail addresses in a long-requested update to their email policy.,Google is rolling out a new feature allowing users to change their Gmail address Google says it is rolling out a feature that lets users change their Gmail addresses in a long-requested update to their email policy.,CNBC Top Stories,,rss
2025-12-26,2025-12-26 23:08:45,2025,12,"New NASA boss Isaacman says U.S. will return to the moon within Trump's term New NASA administrator Jared Isaacman said that the U.S.'s return to the moon is key to unlocking the ""orbital economy.""","New NASA boss Isaacman says U.S. will return to the moon within Trump's term New NASA administrator Jared Isaacman said that the U.S.'s return to the moon is key to unlocking the ""orbital economy.""",CNBC Top Stories,,rss
2025-12-26,2025-12-26 19:47:30,2025,12,Are dividends better for investors than stock buybacks? It all depends Both are positive events with relative pros and cons.,Are dividends better for investors than stock buybacks? It all depends Both are positive events with relative pros and cons.,CNBC Top Stories,,rss
2025-12-26,2025-12-26 16:45:19,2025,12,"The 'Trump-class' battleship faces a large obstacle in its way: Reality Even if it were technically feasible, the cost of building the battleship would be prohibitive.","The 'Trump-class' battleship faces a large obstacle in its way: Reality Even if it were technically feasible, the cost of building the battleship would be prohibitive.",CNBC Top Stories,,rss
2025-12-26,2025-12-26 14:45:12,2025,12,Stocks End Near Record High as Nvidia Gains on AI Licensing Deal US stocks wavered near a record high in thin holiday trading as investors shifted attention to a relentless rally in commodities. Nvidia Corp. climbed as analysts viewed a licensing deal with artificial intelligence startup Groq positively.,Stocks End Near Record High as Nvidia Gains on AI Licensing Deal US stocks wavered near a record high in thin holiday trading as investors shifted attention to a relentless rally in commodities. Nvidia Corp. climbed as analysts viewed a licensing deal with artificial intelligence startup Groq positively.,Bloomberg,,rss
2025-12-26,2025-12-26 07:33:42,2025,12,Monetizers vs manufacturers: How the AI market could splinter in 2026 AI infrastructure firms are set to win from the evolution of once asset-light Big Tech firms.,Monetizers vs manufacturers: How the AI market could splinter in 2026 AI infrastructure firms are set to win from the evolution of once asset-light Big Tech firms.,CNBC Top Stories,,rss
2025-12-26,2025-12-26 15:51:38,2025,12,"Why buying Berkshire was Warren Buffett's biggest mistake As Warren Buffett goes into his last week as Berkshire Hathaway's CEO, a 2010 CNBC video clip has him explaining why buying the company was his biggest mistake.","Why buying Berkshire was Warren Buffett's biggest mistake As Warren Buffett goes into his last week as Berkshire Hathaway's CEO, a 2010 CNBC video clip has him explaining why buying the company was his biggest mistake.",CNBC Top Stories,,rss
2025-12-26,2025-12-26 17:13:40,2025,12,"The 15 highest-paying jobs you can land without a 4-year degree, according to new report These jobs are ""very attainable"" without a degree, according to a career expert.","The 15 highest-paying jobs you can land without a 4-year degree, according to new report These jobs are ""very attainable"" without a degree, according to a career expert.",CNBC Top Stories,,rss
2025-12-26,2025-12-26 14:01:29,2025,12,"8 timeless money lessons from my 79-year-old dad: 'Being cheap and being frugal aren’t the same thing' Money expert Brian Page shares the timeless financial lessons he learned growing up with a frugal father. ""While others rushed to buy the newest car or gadget, he was content with what he had,"" he writes. ""That mindset made him the quintessential millionaire next door.""","8 timeless money lessons from my 79-year-old dad: 'Being cheap and being frugal aren’t the same thing' Money expert Brian Page shares the timeless financial lessons he learned growing up with a frugal father. ""While others rushed to buy the newest car or gadget, he was content with what he had,"" he writes. ""That mindset made him the quintessential millionaire next door.""",CNBC Top Stories,,rss
2025-12-26,2025-12-26 13:16:42,2025,12,"Tariffs hit boots, bags and more as leather prices jump — and relief could be years away Leather prices are expected to continue rising in 2026 as Trump's tariffs crimple a global supply-chain while domestic manufacturing and cattle herds are down.","Tariffs hit boots, bags and more as leather prices jump — and relief could be years away Leather prices are expected to continue rising in 2026 as Trump's tariffs crimple a global supply-chain while domestic manufacturing and cattle herds are down.",CNBC Top Stories,,rss
2025-12-26,2025-12-26 01:50:16,2025,12,"'Humans are the most important part' of investing, says a fund manager whose firm makes every call with algorithms The AI-driven fund has seen higher annual returns across a 10-year period compared with an industry benchmark, per the firm.","'Humans are the most important part' of investing, says a fund manager whose firm makes every call with algorithms The AI-driven fund has seen higher annual returns across a 10-year period compared with an industry benchmark, per the firm.",CNBC Top Stories,,rss
2025-12-26,2025-12-26 11:48:04,2025,12,"Vanke Wins Approval for Longer Grace Period on Another Yuan Bond China Vanke Co., which just days ago got a reprieve on a local bond, has gained further breathing room after investors agreed to extend the grace period of another note, helping the embattled developer avert an imminent default once again.","Vanke Wins Approval for Longer Grace Period on Another Yuan Bond China Vanke Co., which just days ago got a reprieve on a local bond, has gained further breathing room after investors agreed to extend the grace period of another note, helping the embattled developer avert an imminent default once again.",Bloomberg,,rss
2025-12-26,2025-12-26 22:46:32,2025,12,"2026 Outlook For Dealmaking Bloomberg's Nina Trentmann discusses the outlook for dealmaking in 2026, the impact of geopolitics, how less deals have been challenged by FTC and DOJ, and the prospect of lowering financing costs with Vonnie Quinn and Isabelle Lee on 'Bloomberg Markets.' (Source: Bloomberg)","2026 Outlook For Dealmaking Bloomberg's Nina Trentmann discusses the outlook for dealmaking in 2026, the impact of geopolitics, how less deals have been challenged by FTC and DOJ, and the prospect of lowering financing costs with Vonnie Quinn and Isabelle Lee on 'Bloomberg Markets.' (Source: Bloomberg)",Bloomberg,,rss
2025-12-26,2025-12-26 03:49:36,2025,12,"Emerging-Market Stocks, Currencies Add to Rally in Quiet Session Emerging-market assets added to their recent advances on Friday amid thin holiday trading, as investor sentiment remained bullish heading into the year-end.","Emerging-Market Stocks, Currencies Add to Rally in Quiet Session Emerging-market assets added to their recent advances on Friday amid thin holiday trading, as investor sentiment remained bullish heading into the year-end.",Bloomberg,,rss
2025-12-26,2025-12-26 19:51:09,2025,12,"As the cost of living keeps climbing, Americans are 'trying to muscle through' the affordability crisis, analyst says Rising prices have created an affordability crisis for many Americans. Some consumers are changing behaviors, while others are carrying on as normal.","As the cost of living keeps climbing, Americans are 'trying to muscle through' the affordability crisis, analyst says Rising prices have created an affordability crisis for many Americans. Some consumers are changing behaviors, while others are carrying on as normal.",CNBC Top Stories,,rss
2025-12-26,2025-12-26 10:15:30,2025,12,"Yen Bears Are Everywhere as Currency Heads Toward 160 Per Dollar <p>Capital outflows, BOJ’s gradual tightening pace are keeping the yen under pressure.</p>","Yen Bears Are Everywhere as Currency Heads Toward 160 Per Dollar <p>Capital outflows, BOJ’s gradual tightening pace are keeping the yen under pressure.</p>",Bloomberg,,rss
