Model,RMSE,MAE,MAPE,RÂ²
SARIMAX,0.0,0.0,0.0,0.0
TCN,0.0,0.0,0.0,0.0
sklearn_Linear,0.0,0.0,0.0,0.0
LSTM,8.466450399647533,6.914176030247534,3.1034170120243676,0.856862927250415
BiLSTM,9.324558570901438,7.58920745444867,3.3436252128523787,0.8263775193257699
Ensemble,10.176476432205757,8.766316097674382,3.765626137688569,0.7932029892203633
GRU,11.047476700121585,9.518351466333202,4.0617874958672076,0.7562887467074473
CNN-LSTM,16.130229068601988,14.088767216123383,5.964194824118052,0.48044627322669875
Transformer,20.82630969265812,17.96343577255937,7.476938433400523,0.1338880337945315
